b,30.83,u,g,w,v,1.25,t,t,01,f,g,00202,0,+
a,58.67,u,g,q,h,3.04,t,t,06,f,g,00043,560,+
a,24.50,u,g,q,h,1.5,t,f,0,f,g,00280,824,+
b,27.83,u,g,w,v,3.75,t,t,05,t,g,00100,3,+
b,20.17,u,g,w,v,1.71,t,f,0,f,s,00120,0,+
b,32.08,u,g,m,v,2.5,t,f,0,t,g,00360,0,+
b,33.17,u,g,r,h,6.5,t,f,0,t,g,00164,31285,+
a,22.92,u,g,cc,v,0.04,t,f,0,f,g,00080,1349,+
b,54.42,y,p,k,h,3.96,t,f,0,f,g,00180,314,+
b,42.50,y,p,w,v,3.165,t,f,0,t,g,00052,1442,+
b,22.08,zz,g,c,h,2.165,f,f,0,t,g,00128,0,+
b,29.92,u,g,c,h,4.335,t,f,0,f,g,00260,200,+
a,38.25,u,g,k,v,1,t,f,0,t,g,00000,0,+
b,48.08,u,g,k,v,0.04,f,f,0,f,g,00000,2690,+
a,45.83,u,g,q,v,5,t,t,07,t,g,00000,0,+
b,36.67,y,p,k,v,0.25,t,t,10,t,g,00320,0,+
b,28.25,u,g,m,v,0.96,t,t,03,t,g,00396,0,+
a,23.25,u,g,q,v,3.17,t,t,10,f,g,00120,245,+
b,21.83,u,g,d,h,0.665,t,f,0,t,g,00000,0,+
a,19.17,u,g,cc,h,0.75,t,t,07,f,g,00096,0,+
b,25.00,u,g,c,v,2.5,t,t,17,f,g,00200,1208,+
b,23.25,u,g,c,v,0.835,t,f,0,f,s,00300,0,+
a,47.75,u,g,c,v,7.875,t,t,06,t,g,00000,1260,+
a,27.42,u,g,x,h,3.085,t,t,01,f,g,00120,11,+
a,41.17,u,g,q,v,0.5,t,t,03,t,g,00145,0,+
a,15.83,u,g,c,h,1.5,t,t,02,f,g,00100,0,+
a,47.00,u,g,i,bb,5.165,t,t,09,t,g,00000,0,+
b,56.58,u,g,d,bb,15,t,t,17,t,g,00000,0,+
b,57.42,u,g,e,h,7,t,t,03,f,g,00000,0,+
b,42.08,u,g,w,v,5,t,t,06,t,g,00500,10000,+
b,29.25,u,g,aa,v,5.04,t,t,05,t,g,00168,0,+
b,42.00,u,g,x,h,7.96,t,t,08,f,g,00000,0,+
b,49.50,u,g,i,bb,7.585,t,t,15,t,g,00000,5000,+
a,36.75,u,g,e,v,5,t,f,0,t,g,00000,4000,+
a,22.58,u,g,q,v,0.415,t,t,05,t,g,00000,560,+
b,27.83,u,g,w,v,2,t,t,11,t,g,00434,35,+
b,27.25,u,g,cc,h,1.835,t,t,12,t,g,00583,713,+
a,23.00,u,g,x,h,0.5,t,t,02,t,g,00300,551,+
b,27.75,y,p,cc,v,0.25,t,t,02,f,g,00260,500,+
b,54.58,u,g,ff,ff,14.415,t,t,11,t,g,00030,300,+
b,34.17,u,g,c,v,4.5,t,t,12,t,g,00000,221,+
b,28.92,u,g,c,h,5.335,t,t,11,f,g,00000,2283,+
b,29.67,u,g,w,h,0.75,t,t,01,f,g,00240,100,+
b,39.58,u,g,w,v,8.625,t,t,06,t,g,00070,0,+
b,56.42,y,p,c,v,28.5,t,t,40,f,g,00000,15,+
b,54.33,u,g,c,h,2.625,t,t,11,t,g,00000,284,+
a,41.00,y,p,q,h,0.125,t,t,23,t,g,00455,1236,+
b,31.92,u,g,cc,h,6.04,t,t,03,f,g,00311,300,+
b,41.50,u,g,i,bb,3.5,f,f,0,f,g,00216,0,+
b,23.92,u,g,c,v,0.165,f,f,0,f,g,00100,0,+
a,25.75,u,g,c,h,0.875,t,f,0,t,g,00491,0,+
b,26.00,u,g,q,v,1.75,t,f,0,t,g,00280,0,+
b,37.42,u,g,w,v,0.04,t,f,0,t,g,00400,5800,+
